TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
VIUR11;7,05;0,072000;11,87;9,51;0,74;191.982,87;11,56;;;256.297.429,41;4.432,00;Ativa;26.946.220,00
SADI11;90,62;1,060000;9,70;100,97;0,90;650.705,70;2,62;;;321.097.673,90;3.603,00;Ativa;3.180.207,00
THRA11;138,50;0,130000;32,01;9,54;14,52;53.642,50;140,47;90,73;0,12;14.050.683,35;2.084,00;Passiva;1.472.728,00
BMII11;0,00;0,228341;0,00;495,28;;;0,71;;;69.675.891,55;12,00;Passiva;140.680,00
CYCR11;101,94;1,150000;12,40;97,76;1,04;43.111,43;30,15;;;72.344.443,12;377,00;Ativa;740.046,00
ONEF11;159,86;0,920000;6,12;174,80;0,91;58.241,48;1,07;8,58;2,70;159.240.183,47;3.643,00;Passiva;911.000,00
FEXC11;87,62;1,150000;12,28;93,51;0,93;1.129.889,43;14,38;6,79;-10,52;570.742.091,11;19.694,00;Ativa;6.103.509,00
XPSF11;7,00;0,070000;11,79;8,67;0,81;623.006,83;4,94;;;375.228.449,53;24.411,00;Ativa;43.302.140,00
RBRR11;100,00;1,200000;12,14;96,56;1,03;4.370.737,43;6,05;20,75;-2,56;1.046.711.585,04;98.812,00;Ativa;10.840.555,00
PLCR11;83,05;1,170000;14,60;93,02;0,89;373.008,30;11,60;;;196.198.113,56;11.103,00;Ativa;2.109.169,00
ARCT11;107,21;1,860000;16,16;100,54;1,07;2.830.483,52;12,82;;;324.578.304,29;23.040,00;Ativa;3.228.312,00
RBRX11;0,00;2,100000;0,00;91,95;;;5,92;;;40.801.530,54;1,00;Ativa;443.750,00
TORD11;8,84;0,070000;12,37;14,27;0,62;535.927,52;0,01;;;500.070.556,28;100.127,00;Ativa;35.051.354,00
VTXI11;0,00;;0,00;27,37;;;64,88;;;2.832.440,00;2,00;Ativa;103.500,00
BRIM11;1.018,00;48,000000;14,14;1.008,65;1,01;1.018,00;4,68;;;125.210.599,54;198,00;Ativa;124.137,00
HBRH11;81,25;0,654500;11,15;113,07;0,72;333.001,74;0,98;;;313.449.092,21;1.908,00;Ativa;2.772.204,00
