iter	Passed	Remaining
0	6	650
1	11	557
2	15	499
3	23	552
4	30	584
5	39	611
6	48	638
7	55	643
8	62	635
9	69	629
10	76	622
11	83	615
12	88	589
13	93	577
14	97	555
15	105	555
16	111	543
17	118	541
18	126	539
19	134	536
20	141	533
21	147	523
22	154	515
23	161	510
24	168	505
25	173	493
26	180	488
27	187	483
28	195	478
29	203	473
30	210	468
31	218	465
32	226	460
33	234	454
34	241	448
35	249	443
36	256	437
37	263	430
38	270	423
39	277	416
40	283	408
41	290	401
42	297	394
43	305	388
44	312	381
45	320	376
46	328	370
47	335	363
48	343	357
49	350	350
50	358	344
51	365	337
52	373	331
53	380	324
54	388	318
55	396	311
56	403	304
57	409	296
58	417	290
59	425	283
60	432	276
61	440	269
62	447	262
63	455	256
64	463	249
65	469	241
66	476	234
67	482	226
68	489	219
69	495	212
70	502	205
71	509	197
72	516	190
73	524	184
74	531	177
75	540	170
76	549	164
77	555	156
78	562	149
79	569	142
80	576	135
81	583	128
82	591	121
83	597	113
84	604	106
85	611	99
86	619	92
87	625	85
88	633	78
89	640	71
90	647	64
91	654	56
92	662	49
93	669	42
94	676	35
95	682	28
96	689	21
97	696	14
98	704	7
99	712	0
