iter	Passed	Remaining
0	150	14873
1	151	7423
2	152	4941
3	154	3698
4	155	2952
5	156	2454
6	157	2097
7	158	1827
8	160	1617
9	161	1450
10	162	1312
11	163	1197
12	164	1100
13	165	1017
14	166	945
15	167	881
16	169	825
17	170	776
18	171	731
19	172	690
20	173	653
21	174	620
22	175	589
23	177	560
24	178	534
25	179	509
26	180	487
27	181	466
28	182	447
29	184	429
30	185	412
31	186	396
32	187	380
33	188	366
34	189	352
35	190	338
36	191	326
37	192	314
38	193	303
39	194	292
40	195	281
41	197	272
42	198	263
43	199	254
44	200	245
45	201	237
46	203	228
47	204	221
48	205	213
49	206	206
50	207	199
51	208	192
52	209	186
53	210	179
54	212	173
55	213	167
56	214	161
57	215	156
58	216	150
59	217	145
60	219	140
61	220	134
62	221	129
63	222	125
64	223	120
65	224	115
66	225	111
67	226	106
68	228	102
69	229	98
70	230	94
71	231	90
72	232	86
73	233	82
74	234	78
75	235	74
76	237	70
77	238	67
78	239	63
79	240	60
80	241	56
81	242	53
82	243	49
83	244	46
84	245	43
85	246	40
86	247	37
87	248	33
88	249	30
89	250	27
90	251	24
91	253	22
92	254	19
93	255	16
94	256	13
95	257	10
96	258	7
97	259	5
98	260	2
99	261	0
