Date__(UT)__HR:MN, , , R.A._(ICRF), DEC_(ICRF),    APmag,  S-brt,             delta,     deldot,     S-O-T,/r,     S-T-O,  Sky_motion, Sky_mot_PA, RelVel-ANG, Lun_Sky_Brt  sky_SNR

 2022-Jul-11 00:00, , ,   197.51785,   22.67345,   17.173,   n.a.,  52.8140356156280, 25.4275187,   79.5486,/T,    1.0884,   0.0265314,  170.09310,  56.330642,        n.a.     n.a.
 2022-Jul-12 00:00, , ,   197.51998,   22.66295,   17.173,   n.a.,  52.8286951350857, 25.3360921,   78.7139,/T,    1.0854,   0.0268960,  168.68655,  55.865686,        n.a.     n.a.
 2022-Jul-13 00:00, , ,   197.52241,   22.65235,   17.173,   n.a.,  52.8433000458918, 25.2384314,   77.8800,/T,    1.0822,   0.0272700,  167.31803,  55.386458,        n.a.     n.a.
 2022-Jul-14 00:00, , ,   197.52515,   22.64166,   17.174,   n.a.,  52.8578467703722, 25.1346016,   77.0470,/T,    1.0787,   0.0276530,  165.98635,  54.893510,        n.a.     n.a.
 2022-Jul-15 00:00, , ,   197.52820,   22.63089,   17.174,   n.a.,  52.8723317435457, 25.0245813,   76.2149,/T,    1.0750,   0.0280445,  164.69023,  54.387296,        n.a.     n.a.
 2022-Jul-16 00:00, , ,   197.53155,   22.62002,   17.174,   n.a.,  52.8867513646259, 24.9082714,   75.3837,/T,    1.0711,   0.0284441,  163.42842,  53.868224,        n.a.     n.a.
 2022-Jul-17 00:00, , ,   197.53521,   22.60907,   17.174,   n.a.,  52.9011019600683, 24.7855248,   74.5535,/T,    1.0670,   0.0288511,  162.19973,  53.336698,        n.a.     n.a.
 2022-Jul-18 00:00, , ,   197.53918,   22.59804,   17.174,   n.a.,  52.9153797658830, 24.6561811,   73.7242,/T,    1.0626,   0.0292651,  161.00315,  52.793154,        n.a.     n.a.
 2022-Jul-19 00:00, , ,   197.54345,   22.58693,   17.175,   n.a.,  52.9295809289063, 24.5200956,   72.8961,/T,    1.0580,   0.0296854,  159.83775,  52.238070,        n.a.     n.a.
 2022-Jul-20 00:00, , ,   197.54803,   22.57575,   17.175,   n.a.,  52.9437015209518, 24.3771548,   72.0690,/T,    1.0532,   0.0301113,  158.70270,  51.671957,        n.a.     n.a.
 2022-Jul-21 00:00, , ,   197.55291,   22.56449,   17.175,   n.a.,  52.9577375584217, 24.2272802,   71.2431,/T,    1.0482,   0.0305420,  157.59722,  51.095346,        n.a.     n.a.
 2022-Jul-22 00:00, , ,   197.55809,   22.55315,   17.175,   n.a.,  52.9716850218107, 24.0704250,   70.4184,/T,    1.0430,   0.0309770,  156.52051,  50.508772,        n.a.     n.a.
 2022-Jul-23 00:00, , ,   197.56358,   22.54175,   17.175,   n.a.,  52.9855398722967, 23.9065680,   69.5950,/T,    1.0375,   0.0314157,  155.47180,  49.912766,        n.a.     n.a.
 2022-Jul-24 00:00, , ,   197.56937,   22.53029,   17.175,   n.a.,  52.9992980648099, 23.7357080,   68.7730,/T,    1.0319,   0.0318573,  154.45030,  49.307844,        n.a.     n.a.
 2022-Jul-25 00:00, , ,   197.57546,   22.51875,   17.175,   n.a.,  53.0129555582161, 23.5578593,   67.9524,/T,    1.0260,   0.0323012,  153.45522,  48.694510,        n.a.     n.a.
 2022-Jul-26 00:00, , ,   197.58185,   22.50716,   17.175,   n.a.,  53.0265083237176, 23.3730501,   67.1334,/T,    1.0200,   0.0327470,  152.48576,  48.073251,        n.a.     n.a.
 2022-Jul-27 00:00, , ,   197.58854,   22.49551,   17.175,   n.a.,  53.0399523525697, 23.1813217,   66.3159,/T,    1.0137,   0.0331939,  151.54112,  47.444544,        n.a.     n.a.
 2022-Jul-28 00:00, , ,   197.59553,   22.48381,   17.175,   n.a.,  53.0532836639649, 22.9827297,   65.5002,/T,    1.0072,   0.0336415,  150.62055,  46.808856,        n.a.     n.a.
 2022-Jul-29 00:00, , ,   197.60282,   22.47206,   17.175,   n.a.,  53.0664983135818, 22.7773453,   64.6862,/T,    1.0006,   0.0340892,  149.72326,  46.166645,        n.a.     n.a.
 2022-Jul-30 00:00, , ,   197.61039,   22.46025,   17.174,   n.a.,  53.0795924029451, 22.5652561,   63.8741,/T,    0.9937,   0.0345365,  148.84852,  45.518365,        n.a.     n.a.
 2022-Jul-31 00:00, , ,   197.61826,   22.44840,   17.174,   n.a.,  53.0925620894511, 22.3465680,   63.0640,/T,    0.9867,   0.0349829,  147.99558,  44.864461,        n.a.     n.a.
 2022-Aug-01 00:00, , ,   197.62642,   22.43651,   17.174,   n.a.,  53.1054035967602, 22.1214048,   62.2560,/T,    0.9795,   0.0354278,  147.16375,  44.205371,        n.a.     n.a.
 2022-Aug-02 00:00, , ,   197.63487,   22.42458,   17.174,   n.a.,  53.1181132252505, 21.8899082,   61.4502,/T,    0.9721,   0.0358709,  146.35232,  43.541522,        n.a.     n.a.
 2022-Aug-03 00:00, , ,   197.64360,   22.41262,   17.174,   n.a.,  53.1306873623328, 21.6522378,   60.6467,/T,    0.9645,   0.0363117,  145.56061,  42.873331,        n.a.     n.a.
