TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
ABCP11;67,39;0,500000;8,41;91,88;0,73;72.120,89;1,59;13,18;-5,20;432.661.319,21;17.747,00;Passiva;4.709.082,00
AFHI11;97,62;1,050000;12,83;95,83;1,02;1.160.677,24;9,42;;;320.377.772,86;23.891,00;Ativa;3.343.095,00
AIEC11;68,40;0,760000;13,27;94,79;0,72;714.338,92;2,54;9,48;;457.355.067,47;15.564,00;Ativa;4.824.987,00
ALMI11;736,00;0,371133;0,00;2.033,68;0,36;46.322,49;2,39;;-14,61;226.098.370,52;2.338,00;Passiva;111.177,00
ALZC11;0,00;;0,00;;;;;;;;;;1.000.000,00
ALZM11;92,46;0,800000;11,80;91,60;1,01;176.314,51;5,43;;;63.313.566,97;3.856,00;Ativa;691.192,00
ALZR11;116,29;0,825000;8,28;106,25;1,09;2.055.529,35;30,27;13,63;-3,35;1.047.620.740,62;142.847,00;Ativa;9.860.406,00
ANCR11B;3.466,00;42,077240;2,95;3.593,56;0,96;3.466,00;0,41;;;1.708.076.461,36;62,00;Ativa;475.316,00
APTO11;9,88;0,100000;12,39;10,39;0,95;47.366,73;8,79;;;41.681.540,67;9.181,00;Ativa;4.012.857,00
APXM11;118,75;0,460227;0,39;94,94;1,25;155.043,91;17,29;;;167.099.461,36;271,00;;1.760.000,00
AQLL11;385,03;;0,00;980,41;0,39;;0,01;;;142.961.004,61;58,00;Ativa;145.817,00
ARFI11B;479,99;;0,00;651,70;0,74;;1,52;;;74.329.618,05;28,00;Ativa;114.054,00
AROA11;0,00;0,004300;0,00;1,07;;;0,79;;;176.477.063,23;51,00;Ativa;165.190.325,00
ARRI11;8,92;0,100000;15,14;8,95;1,00;290.361,19;2,63;3,73;0,87;116.877.383,93;27.581,00;Ativa;13.056.237,00
ARXD11;102,00;1,100000;5,88;100,91;1,01;2.945,70;0,72;;;49.651.472,44;69,00;Ativa;492.050,00
ASMT11;47,00;0,770000;8,19;84,11;0,56;11.355,78;2,49;;;85.571.433,40;518,00;Ativa;1.017.316,00
ASRF11;0,00;256,328699;0,00;9.994,80;;;100,78;;;23.987.514,47;55,00;Ativa;2.400,00
ATCR11;0,00;0,302644;0,00;85,01;;;0,52;;;78.966.948,98;33,00;Ativa;928.908,00
ATSA11;57,81;0,050000;0,52;81,76;0,71;2.430,97;1,46;1,98;-19,54;143.177.432,23;281,00;Passiva;1.751.141,00
ATWN11;0,00;;0,00;587,63;;;1,96;;;94.466.345,33;2,00;Passiva;160.757,00
AURB11;0,00;0,300000;0,00;82,86;;;1,37;;;72.960.461,86;5,00;Ativa;880.560,00
BARI11;84,59;0,600000;12,73;96,70;0,87;751.889,11;1,09;-11,08;-7,13;448.115.966,72;38.144,00;Ativa;4.634.191,00
BBFI11B;979,84;7,425908;24,42;2.147,72;0,46;168.880,30;8,03;-8,01;-26,58;279.203.215,33;7.948,00;Passiva;130.000,00
BBFO11;74,25;0,620000;10,98;82,73;0,90;362.776,86;0,40;;;331.238.334,63;5.767,00;Passiva;4.003.900,00
BBIM11;0,00;0,100000;0,00;18,57;;;1,62;-22,05;;19.216.946,54;20,00;Ativa;1.035.000,00
BBPO11;96,75;0,900000;11,25;99,86;0,97;1.916.754,73;3,56;-5,09;-11,29;1.589.767.576,61;74.723,00;Passiva;15.919.690,00
BBRC11;114,99;1,130000;10,78;108,05;1,06;109.575,19;5,05;4,62;-8,60;171.801.353,71;9.625,00;Passiva;1.590.000,00
BCFF11;74,54;0,560000;9,02;78,00;0,96;3.322.387,46;5,79;3,22;-6,32;1.964.631.115,38;301.431,00;Ativa;25.186.378,00
BCIA11;102,21;0,830000;9,19;110,18;0,93;792.559,89;3,50;7,12;-6,46;409.760.254,70;18.931,00;Ativa;3.719.038,00
BCRI11;70,14;0,800000;15,00;97,78;0,72;653.127,54;8,25;-8,45;-13,39;611.878.566,65;48.012,00;Ativa;6.257.873,00
BICE11;980,00;7,880000;13,43;987,76;0,99;27.531,00;7,33;;;89.204.724,32;115,00;Ativa;90.310,00
BICR11;90,80;0,520000;11,08;102,36;0,89;1.079,89;35,62;43,70;-3,15;51.182.080,30;529,00;Ativa;500.000,00
BIME11;7,47;0,080000;12,32;8,75;0,85;55.049,97;4,45;;;51.169.258,37;8.791,00;Ativa;5.845.602,00
BIPD11;0,00;10,380000;0,00;988,86;;;5,96;;;48.175.100,60;110,00;Ativa;48.718,00
BLCA11;120,00;0,570000;5,67;135,91;0,88;1.663,09;3,96;;;217.448.166,98;219,00;Ativa;1.600.000,00
BLCP11;91,00;0,563428;0,62;111,74;0,81;103.127,50;1,06;;-3,97;256.580.339,90;279,00;Ativa;2.296.282,00
BLMC11;80,96;0,660000;12,08;98,48;0,82;22.444,47;12,18;;;39.342.108,07;443,00;Ativa;399.500,00
BLMG11;59,80;0,700000;15,22;87,52;0,68;527.518,76;1,00;;;333.512.364,82;13.828,00;Ativa;3.810.588,00
BLMO11;18.898,00;102,000000;4,08;33.367,64;0,57;293.719,33;2,31;;;126.696.946,60;92,00;Ativa;3.797,00
BLMR11;7,11;0,060000;11,04;7,87;0,90;383.292,00;0,90;;;201.034.512,18;18.986,00;Ativa;25.541.630,00
BLUR11;97,51;1,030000;12,68;93,45;1,04;5.551,05;4,77;;;8.410.338,78;101,00;Ativa;90.000,00
BMII11;0,00;0,228341;0,00;471,14;;;0,87;;;67.703.080,78;12,00;Passiva;143.700,00
BMLC11;105,98;0,760000;11,43;110,76;0,96;33.111,19;17,27;20,48;3,38;110.584.605,07;1.493,00;Ativa;998.405,00
BNFS11;122,01;1,490392;14,55;91,74;1,33;135.496,05;6,31;12,49;-0,85;64.219.066,28;4.819,00;Ativa;700.000,00
BPFF11;72,33;0,620000;10,40;78,20;0,92;336.940,32;5,59;4,50;-4,03;351.299.101,59;18.670,00;Ativa;4.492.326,00
BPLC11;0,00;14,420464;0,00;9.934,18;;;3,49;;;317.893.761,16;114,00;Ativa;32.000,00
BPML11;78,98;0,270465;1,82;132,20;0,60;227.253,62;2,00;;-6,70;569.112.237,85;1.451,00;Passiva;4.305.079,00
